region;ålder;år;Folkmängd
01 Stockholms län;totalt ålder;2008;1981263
01 Stockholms län;totalt ålder;2009;2019182
01 Stockholms län;totalt ålder;2010;2054343
01 Stockholms län;totalt ålder;2011;2091473
01 Stockholms län;totalt ålder;2012;2127006
01 Stockholms län;totalt ålder;2013;2163042
01 Stockholms län;totalt ålder;2014;2198044
01 Stockholms län;totalt ålder;2015;2231439
01 Stockholms län;totalt ålder;2016;2269060
01 Stockholms län;totalt ålder;2017;2308143
01 Stockholms län;totalt ålder;2018;2344124
03 Uppsala län;totalt ålder;2008;327188
03 Uppsala län;totalt ålder;2009;331898
03 Uppsala län;totalt ålder;2010;335882
03 Uppsala län;totalt ålder;2011;338630
03 Uppsala län;totalt ålder;2012;341977
03 Uppsala län;totalt ålder;2013;345481
03 Uppsala län;totalt ålder;2014;348942
03 Uppsala län;totalt ålder;2015;354164
03 Uppsala län;totalt ålder;2016;361373
03 Uppsala län;totalt ålder;2017;368971
03 Uppsala län;totalt ålder;2018;376354
04 Södermanlands län;totalt ålder;2008;267524
04 Södermanlands län;totalt ålder;2009;269053
04 Södermanlands län;totalt ålder;2010;270738
04 Södermanlands län;totalt ålder;2011;272563
04 Södermanlands län;totalt ålder;2012;274723
04 Södermanlands län;totalt ålder;2013;277569
04 Södermanlands län;totalt ålder;2014;280666
04 Södermanlands län;totalt ålder;2015;283712
04 Södermanlands län;totalt ålder;2016;288097
04 Södermanlands län;totalt ålder;2017;291341
04 Södermanlands län;totalt ålder;2018;294695
05 Östergötlands län;totalt ålder;2008;423169
05 Östergötlands län;totalt ålder;2009;427106
05 Östergötlands län;totalt ålder;2010;429642
05 Östergötlands län;totalt ålder;2011;431075
05 Östergötlands län;totalt ålder;2012;433784
05 Östergötlands län;totalt ålder;2013;437848
05 Östergötlands län;totalt ålder;2014;442105
05 Östergötlands län;totalt ålder;2015;445661
05 Östergötlands län;totalt ålder;2016;452105
05 Östergötlands län;totalt ålder;2017;457496
05 Östergötlands län;totalt ålder;2018;461583
06 Jönköpings län;totalt ålder;2008;335246
06 Jönköpings län;totalt ålder;2009;336044
06 Jönköpings län;totalt ålder;2010;336866
06 Jönköpings län;totalt ålder;2011;337896
06 Jönköpings län;totalt ålder;2012;339116
06 Jönköpings län;totalt ålder;2013;341235
06 Jönköpings län;totalt ålder;2014;344262
06 Jönköpings län;totalt ålder;2015;347837
06 Jönköpings län;totalt ålder;2016;352735
06 Jönköpings län;totalt ålder;2017;357237
06 Jönköpings län;totalt ålder;2018;360825
07 Kronobergs län;totalt ålder;2008;182224
07 Kronobergs län;totalt ålder;2009;183162
07 Kronobergs län;totalt ålder;2010;183940
07 Kronobergs län;totalt ålder;2011;184654
07 Kronobergs län;totalt ålder;2012;185887
07 Kronobergs län;totalt ålder;2013;187156
07 Kronobergs län;totalt ålder;2014;189128
07 Kronobergs län;totalt ålder;2015;191369
07 Kronobergs län;totalt ålder;2016;194628
07 Kronobergs län;totalt ålder;2017;197519
07 Kronobergs län;totalt ålder;2018;199886
08 Kalmar län;totalt ålder;2008;233397
08 Kalmar län;totalt ålder;2009;233639
08 Kalmar län;totalt ålder;2010;233536
08 Kalmar län;totalt ålder;2011;233090
08 Kalmar län;totalt ålder;2012;233548
08 Kalmar län;totalt ålder;2013;233874
08 Kalmar län;totalt ålder;2014;235598
08 Kalmar län;totalt ålder;2015;237679
08 Kalmar län;totalt ålder;2016;242301
08 Kalmar län;totalt ålder;2017;243536
08 Kalmar län;totalt ålder;2018;244670
09 Gotlands län;totalt ålder;2008;57004
09 Gotlands län;totalt ålder;2009;57221
09 Gotlands län;totalt ålder;2010;57269
09 Gotlands län;totalt ålder;2011;57308
09 Gotlands län;totalt ålder;2012;57241
09 Gotlands län;totalt ålder;2013;57161
09 Gotlands län;totalt ålder;2014;57255
09 Gotlands län;totalt ålder;2015;57391
09 Gotlands län;totalt ålder;2016;58003
09 Gotlands län;totalt ålder;2017;58595
09 Gotlands län;totalt ålder;2018;59249
10 Blekinge län;totalt ålder;2008;152259
10 Blekinge län;totalt ålder;2009;152591
10 Blekinge län;totalt ålder;2010;153227
10 Blekinge län;totalt ålder;2011;152979
10 Blekinge län;totalt ålder;2012;152315
10 Blekinge län;totalt ålder;2013;152757
10 Blekinge län;totalt ålder;2014;154157
10 Blekinge län;totalt ålder;2015;156253
10 Blekinge län;totalt ålder;2016;158453
10 Blekinge län;totalt ålder;2017;159371
10 Blekinge län;totalt ålder;2018;159684
12 Skåne län;totalt ålder;2008;1214758
12 Skåne län;totalt ålder;2009;1231062
12 Skåne län;totalt ålder;2010;1243329
12 Skåne län;totalt ålder;2011;1252933
12 Skåne län;totalt ålder;2012;1263088
12 Skåne län;totalt ålder;2013;1274069
12 Skåne län;totalt ålder;2014;1288908
12 Skåne län;totalt ålder;2015;1303627
12 Skåne län;totalt ålder;2016;1324565
12 Skåne län;totalt ålder;2017;1344689
12 Skåne län;totalt ålder;2018;1362164
13 Hallands län;totalt ålder;2008;293572
13 Hallands län;totalt ålder;2009;296825
13 Hallands län;totalt ålder;2010;299484
13 Hallands län;totalt ålder;2011;301724
13 Hallands län;totalt ålder;2012;304116
13 Hallands län;totalt ålder;2013;306840
13 Hallands län;totalt ålder;2014;310665
13 Hallands län;totalt ålder;2015;314784
13 Hallands län;totalt ålder;2016;320333
13 Hallands län;totalt ålder;2017;324825
13 Hallands län;totalt ålder;2018;329352
14 Västra Götalands län;totalt ålder;2008;1558130
14 Västra Götalands län;totalt ålder;2009;1569458
14 Västra Götalands län;totalt ålder;2010;1580297
14 Västra Götalands län;totalt ålder;2011;1590604
14 Västra Götalands län;totalt ålder;2012;1600447
14 Västra Götalands län;totalt ålder;2013;1615084
14 Västra Götalands län;totalt ålder;2014;1632012
14 Västra Götalands län;totalt ålder;2015;1648682
14 Västra Götalands län;totalt ålder;2016;1671783
14 Västra Götalands län;totalt ålder;2017;1690782
14 Västra Götalands län;totalt ålder;2018;1709814
17 Värmlands län;totalt ålder;2008;273374
17 Värmlands län;totalt ålder;2009;273257
17 Värmlands län;totalt ålder;2010;273265
17 Värmlands län;totalt ålder;2011;272736
17 Värmlands län;totalt ålder;2012;273080
17 Värmlands län;totalt ålder;2013;273815
17 Värmlands län;totalt ålder;2014;274691
17 Värmlands län;totalt ålder;2015;275904
17 Värmlands län;totalt ålder;2016;279334
17 Värmlands län;totalt ålder;2017;280399
17 Värmlands län;totalt ålder;2018;281482
18 Örebro län;totalt ålder;2008;277732
18 Örebro län;totalt ålder;2009;278882
18 Örebro län;totalt ålder;2010;280230
18 Örebro län;totalt ålder;2011;281572
18 Örebro län;totalt ålder;2012;283113
18 Örebro län;totalt ålder;2013;285395
18 Örebro län;totalt ålder;2014;288150
18 Örebro län;totalt ålder;2015;291012
18 Örebro län;totalt ålder;2016;294941
18 Örebro län;totalt ålder;2017;298907
18 Örebro län;totalt ålder;2018;302252
19 Västmanlands län;totalt ålder;2008;249974
19 Västmanlands län;totalt ålder;2009;251353
19 Västmanlands län;totalt ålder;2010;252756
19 Västmanlands län;totalt ålder;2011;254257
19 Västmanlands län;totalt ålder;2012;256224
19 Västmanlands län;totalt ålder;2013;259054
19 Västmanlands län;totalt ålder;2014;261703
19 Västmanlands län;totalt ålder;2015;264276
19 Västmanlands län;totalt ålder;2016;267629
19 Västmanlands län;totalt ålder;2017;271095
19 Västmanlands län;totalt ålder;2018;273929
20 Dalarnas län;totalt ålder;2008;275867
20 Dalarnas län;totalt ålder;2009;276454
20 Dalarnas län;totalt ålder;2010;277047
20 Dalarnas län;totalt ålder;2011;276565
20 Dalarnas län;totalt ålder;2012;276555
20 Dalarnas län;totalt ålder;2013;277349
20 Dalarnas län;totalt ålder;2014;278903
20 Dalarnas län;totalt ålder;2015;281028
20 Dalarnas län;totalt ålder;2016;284531
20 Dalarnas län;totalt ålder;2017;286165
20 Dalarnas län;totalt ålder;2018;287191
21 Gävleborgs län;totalt ålder;2008;275908
21 Gävleborgs län;totalt ålder;2009;276220
21 Gävleborgs län;totalt ålder;2010;276508
21 Gävleborgs län;totalt ålder;2011;276130
21 Gävleborgs län;totalt ålder;2012;276637
21 Gävleborgs län;totalt ålder;2013;277970
21 Gävleborgs län;totalt ålder;2014;279991
21 Gävleborgs län;totalt ålder;2015;281815
21 Gävleborgs län;totalt ålder;2016;284586
21 Gävleborgs län;totalt ålder;2017;285637
21 Gävleborgs län;totalt ålder;2018;286547
22 Västernorrlands län;totalt ålder;2008;243372
22 Västernorrlands län;totalt ålder;2009;243042
22 Västernorrlands län;totalt ålder;2010;242625
22 Västernorrlands län;totalt ålder;2011;242155
22 Västernorrlands län;totalt ålder;2012;241981
22 Västernorrlands län;totalt ålder;2013;242156
22 Västernorrlands län;totalt ålder;2014;243061
22 Västernorrlands län;totalt ålder;2015;243897
22 Västernorrlands län;totalt ålder;2016;245572
22 Västernorrlands län;totalt ålder;2017;245968
22 Västernorrlands län;totalt ålder;2018;245453
23 Jämtlands län;totalt ålder;2008;126897
23 Jämtlands län;totalt ålder;2009;126666
23 Jämtlands län;totalt ålder;2010;126691
23 Jämtlands län;totalt ålder;2011;126299
23 Jämtlands län;totalt ålder;2012;126201
23 Jämtlands län;totalt ålder;2013;126461
23 Jämtlands län;totalt ålder;2014;126765
23 Jämtlands län;totalt ålder;2015;127376
23 Jämtlands län;totalt ålder;2016;128673
23 Jämtlands län;totalt ålder;2017;129806
23 Jämtlands län;totalt ålder;2018;130280
24 Västerbottens län;totalt ålder;2008;257812
24 Västerbottens län;totalt ålder;2009;258548
24 Västerbottens län;totalt ålder;2010;259286
24 Västerbottens län;totalt ålder;2011;259667
24 Västerbottens län;totalt ålder;2012;260217
24 Västerbottens län;totalt ålder;2013;261112
24 Västerbottens län;totalt ålder;2014;262362
24 Västerbottens län;totalt ålder;2015;263378
24 Västerbottens län;totalt ålder;2016;265881
24 Västerbottens län;totalt ålder;2017;268465
24 Västerbottens län;totalt ålder;2018;270154
25 Norrbottens län;totalt ålder;2008;249677
25 Norrbottens län;totalt ålder;2009;249019
25 Norrbottens län;totalt ålder;2010;248609
25 Norrbottens län;totalt ålder;2011;248545
25 Norrbottens län;totalt ålder;2012;248637
25 Norrbottens län;totalt ålder;2013;249436
25 Norrbottens län;totalt ålder;2014;249987
25 Norrbottens län;totalt ålder;2015;249733
25 Norrbottens län;totalt ålder;2016;250570
25 Norrbottens län;totalt ålder;2017;251295
25 Norrbottens län;totalt ålder;2018;250497